"aou","stateroute","dist_from_centroid","bearing"
6870,89032,1493394.65633204,-80.8984633328671
6870,89068,1714360.5020567,-79.4120950830651
6870,89072,1870944.00713505,-80.8954724013132
6870,90001,1749130.25099795,124.783761277114
6870,90002,1737332.02436194,124.043552407901
6870,90003,1785561.61246612,123.906696893043
6870,90004,1674970.52484736,126.990468337188
6870,90005,1763185.00550733,126.567738994569
6870,90007,1708023.12362612,127.335282957743
6870,90014,1629120.36068883,123.173080984937
6870,90015,1653264.29854518,123.829396847404
6870,90020,1640316.32336827,125.989087257222
6870,90021,1653508.1260408,125.402046217641
6870,90022,1703253.56424051,121.036335559794
6870,90023,1731036.43401886,120.836709274099
6870,90024,1728854.13467348,122.256483945401
6870,90026,1665005.57574278,121.775563755725
6870,90027,1758212.16551553,122.657105098803
6870,90028,1678685.55836785,122.722595725967
6870,90029,1723032.87031247,122.684610485141
6870,90030,1761975.68686311,121.069102295923
6870,90031,1772668.87246006,119.80205822983
6870,90033,1757171.69102593,119.143308782295
6870,90034,1600435.73578545,122.744907510595
6870,90036,1630124.28078914,121.525127298925
6870,90046,1700525.84907972,119.303487942539
6870,90048,1788277.3222341,116.402452864286
6870,90052,1579744.37467239,117.803570401786
6870,90053,1670474.13904051,117.143890167104
6870,90140,1682680.76250002,119.33967654226
6870,90147,1737673.06167052,117.618432043291
6870,91001,414892.135993712,113.872464375049
6870,91002,462264.984226255,108.90829012985
6870,91003,457866.353331687,116.256743310599
6870,91004,495697.301776927,110.257546589096
6870,91005,485842.299408281,103.847978741996
6870,91007,560474.172455773,106.797100213492
6870,91009,472541.915440047,133.016770328568
6870,91010,450386.793500841,129.066917245342
6870,91011,419959.445361511,121.234300504327
6870,91012,460099.517470565,123.935391416927
6870,91014,526457.3430377,122.69274330858
6870,91015,507968.911968298,115.756528147056
6870,91016,519962.738365636,117.302511538585
6870,91017,581300.017073272,120.987141449286
6870,91019,590804.234313619,113.759262054865
6870,91020,616178.155158001,116.430088071643
6870,91021,675546.445143132,114.337458816974
6870,91023,631931.23806761,110.440052664446
6870,91024,649461.347496052,107.963891775973
6870,91025,672990.622931032,107.963831736562
6870,91026,698347.4647457,110.85836625149
6870,91028,749506.484484711,108.46784858916
6870,91029,762439.934321041,108.551441940408
